sample,process_group,era,is_data,n_files,n_events,cross_section_pb,int_lumi_per_pb,expected_yield,generator,das_path
TTToSemiLeptonic,ttbar,UL18,False,391,476408000,365.34,,21819116.061119996,powheg+pythia8,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
TTTo2L2Nu,ttbar,UL18,False,155,145020000,88.29,,5272923.18672,powheg+pythia8,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
TTToHadronic,ttbar,UL18,False,339,334206000,377.96,,22572817.393279996,powheg+pythia8,/TTToHadronic_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
WW,diboson,UL18,False,31,15679000,75.95,,4535944.2296,pythia8,/WW_TuneCP5_13TeV-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
WZ,diboson,UL18,False,16,7940000,27.59,,1647751.16912,pythia8,/WZ_TuneCP5_13TeV-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
ZZ,diboson,UL18,False,6,3526000,12.17,,726826.08656,pythia8,/ZZ_TuneCP5_13TeV-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
DYJetsToLL_M-50_HT-0to100,DY,UL18,False,0,0,6077.22,,-1.0,amcatnlo+pythia8,/DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
DYJetsToLL_M-50_HT-100to200,DY,UL18,False,0,0,147.4,,-1.0,madgraph+pythia8,/DYJetsToLL_M-50_HT-100to200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
QCD_HT200to300,QCD,UL18,False,63,61542214,1547000.0,,92391122096.0,madgraph+pythia8,/QCD_HT200to300_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
QCD_HT300to500,QCD,UL18,False,96,56214199,323400.0,,19314343171.199997,madgraph+pythia8,/QCD_HT300to500_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
QCD_HT500to700,QCD,UL18,False,102,61097673,30310.0,,1810197098.08,madgraph+pythia8,/QCD_HT500to700_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
QCD_HT700to1000,QCD,UL18,False,95,47314826,6444.0,,384853516.992,madgraph+pythia8,/QCD_HT700to1000_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
QCD_HT1000to1500,QCD,UL18,False,52,15230975,1127.0,,67307559.536,madgraph+pythia8,/QCD_HT1000to1500_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
ST_tW_top_5f,single_top,UL18,False,0,0,35.85,,-1.0,powheg+pythia8,/ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
ST_tW_antitop_5f,single_top,UL18,False,0,0,35.85,,-1.0,powheg+pythia8,/ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
ST_t-channel_top_4f,single_top,UL18,False,149,178336000,136.02,,8123490.90336,powheg+pythia8,/ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
ST_t-channel_antitop_4f,single_top,UL18,False,130,95627000,80.95,,4834558.0696,powheg+pythia8,/ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
ST_s-channel_4f_leptonDecays,single_top,UL18,False,19,19365999,3.549,,211956.10363199998,amcatnlo+pythia8,/ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM
SingleMuon_UL18A,data,UL18,True,92,241608232,,14027.617,,collision,/SingleMuon/Run2018A-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD
SingleMuon_UL18B,data,UL18,True,51,119918017,,7057.402,,collision,/SingleMuon/Run2018B-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD
SingleMuon_UL18C,data,UL18,True,56,109986009,,6894.77,,collision,/SingleMuon/Run2018C-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD
SingleMuon_UL18D,data,UL18,True,0,0,,31742.979,,collision,/SingleMuon/Run2018D-UL2018_MiniAODv2_NanoAODv9-v3/NANOAOD
